0	1	32	.00039804460587364571
1	2	1	.00001243889393355142
2	4	0	0
4	8	0	0
8	16	2	.00002487778786710285
16	32	0	0
32	64	0	0
64	128	0	0
128	256	8	.00009951115146841142
256	512	35	.00043536128767430000
512	1024	6	.00007463336360130857
1024	2048	4	.00004975557573420571
2048	4096	4	.00004975557573420571
4096	8192	14	.00017414451506972000
8192	16384	934	.01161792693393703431
16384	32768	1668	.02074807508116378291
32768	65536	7631	.09492119960693095169
65536	131072	9184	.11423880188573632032
131072	262144	5886	.07321532969288370878
262144	524288	7319	.09104026469966290597
524288	1048576	6637	.08255693903698083166
1048576	2097152	4461	.05548990583757292301
2097152	4194304	4664	.05801500130608386302
4194304	8388608	5292	.06582662669635416018
8388608	16777216	12971	.16134489321209558046
16777216	33554432	11698	.14551018123468461184
33554432	67108864	1938	.02410657644322266864
67108864	134217728	2	.00002487778786710285
134217728	268435456	0	0
