0	1	4158	.01385672057613031582
1	2	19	.00006331834799097546
2	4	0	0
4	8	2	.00000666508926220794
8	16	19	.00006331834799097546
16	32	0	0
32	64	0	0
64	128	0	0
128	256	147	.00048988406077228389
256	512	650	.00216615401021758183
512	1024	97	.00032325682921708528
1024	2048	88	.00029326392753714954
2048	4096	113	.00037657754331474884
4096	8192	216	.00071982964031845796
8192	16384	573	.00190954807362257599
16384	32768	1545	.00514878145505563683
32768	65536	14413	.04803196576810154929
65536	131072	19696	.06563779905422383369
131072	262144	15926	.05307410579496185902
262144	524288	23552	.07848809115176074995
524288	1048576	34375	.11455622169419903956
1048576	2097152	24484	.08159402274794965191
2097152	4194304	18897	.06297509589397176001
4194304	8388608	31643	.10545170976202298789
8388608	16777216	31334	.10442195347101186052
16777216	33554432	70579	.23520766751868724401
33554432	67108864	7455	.02484412022488011170
67108864	134217728	82	.00027326865975052570
